0,1,2,3,4
4,-13.7028,24.4544,-712.861,
5,17.1691,75.4876,-741.016,
6,279.88,-24.5027,-783.748,
7,292.67,10.5054,-787.167,
8,267.416,17.1032,-781.089,
9,160.024,28.6628,-754.93,
10,213.324,61.4593,-786.91,
11,343.552,-27.9376,-650.361,
12,317.252,-4.46537,-777.375,
13,329.411,1.49688,-718.605,
14,119.353,72.3818,-764.952,
15,372.952,7.47344,-506.834,
16,356.125,8.11026,-588.887,
17,387.405,-33.1188,-436.952,
18,399.171,26.1075,-378.611,
19,71.5082,129.908,-754.072,
20,-76.09,154.305,-719.545,
21,137.008,-55.1645,-683.112,
22,-50.1076,44.9589,-714.034,
23,17.3629,45.1561,-730.126,
24,131.983,45.2744,-750.837,
25,163.575,228.269,-776.018,
26,115.214,-55.0506,-623.956,
27,213.532,-54.4739,-624.868,
28,76.3042,45.2996,-744.691,
29,208.752,45.491,-775.978,
30,233.387,-54.668,-686.41,
31,312.742,-54.4737,-726.195,
32,141.237,-54.6954,-566.637,
35,-58.1523,-55.7842,-568.483,
36,149.502,-54.5812,-509.766,
37,-24.2603,-55.3358,-490.621,
38,207.141,-54.4036,-545.978,
39,46.4777,-55.2522,-586.61,
40,101.354,-54.7372,-459.101,
41,223.825,-54.406,-437.261,
42,217.075,-54.3386,-495.402,
43,334.794,-54.1428,-416.186,
44,287.328,-54.1449,-570.412,
45,-15.2813,-55.2639,-280.595,
46,-23.7716,-55.3942,-405.394,
47,27.7934,-55.0954,-357.953,
48,44.4725,-54.8297,-308.139,
49,104.344,-54.6556,-418.599,
50,58.8183,-54.5839,-241.606,
51,136.441,-54.2479,-329.583,
52,178.56,-54.015,-220.741,
53,277.912,-54.1013,-365.632,
54,378.638,7.29876,-503.38,
55,-173.666,44.4388,-682.292,
56,-51.136,45.165,-713.582,
57,16.3327,45.4498,-729.682,
